ssn,payment_date,amount,beneficiary_name
111-00-1111,2025-01-15,1200.50,John Doe
222-00-2222,2025-01-15,850.00,Jane Smith
333-00-3333,2025-01-15,1500.75,Peter Jones
111-00-1111,2025-01-15,1200.50,John Doe Duplicate
444-00-4444,2025-01-15,990.20,Mary Williams
555-00-5555,2025-02-15,1150.00,Charles Brown
222-00-2222,2025-02-15,850.00,Jane Smith
666-00-6666,2025-02-15,2100.00,Patricia Miller
333-00-3333,2025-02-15,1500.75,Peter Jones
555-00-5555,2025-02-15,1150.00,Charles Brown Duplicate
777-00-7777,2025-03-15,780.90,Robert Davis
888-00-8888,2025-03-15,1300.00,Linda Garcia
222-00-2222,2025-03-15,850.00,Jane Smith
999-00-9999,2025-03-15,1650.40,Michael Rodriguez
111-00-1111,2025-03-15,1200.50,John Doe
